"","GEOID","NAME","total","white","black","aian","asian","twoormore","nhpi","hispanic","whiteperc","blackperc","aianperc","asianperc","twoormoreperc","nhpiperc","hispanicperc","year","state","region","Democrat","Republican","Third_Party"
"1","42","Pennsylvania",13002700,9750687,1423169,31052,510501,774484,4276,1049615,0.74989709829497,0.109451806163335,0.00238811939058811,0.0392611534527444,0.0595633214640036,0.000328854776315688,0.0807228498696425,2020,"PENNSYLVANIA","Northeast",0.500084956754481,0.488436120401725,0.011478922843794
"2","06","California",39538223,16296122,2237044,631016,6085947,5760235,157263,15579652,0.412161214225536,0.0565792751990903,0.01595964492385,0.15392565821686,0.145687756376912,0.00397749286810386,0.394040268324654,2020,"CALIFORNIA","Pacific",0.634839468938735,0.343207236252849,0.0219532948084156
"3","54","West Virginia",1793716,1610749,65813,3706,15109,84944,476,34827,0.897995557825208,0.036690869680596,0.00206610188011926,0.00842329554957418,0.0473564376969375,0.000265370883685043,0.0194161171556701,2020,"WEST VIRGINIA","Southeast",0.296965212445196,0.686315519246161,0.0167192683086433
"4","49","Utah",3271616,2573413,40058,41644,80438,279013,36930,492912,0.786587729122244,0.0122441019973004,0.0127288777167002,0.0245866263033314,0.0852829305150727,0.0112879995696316,0.15066315851249,2020,"UTAH","Rocky Mountain",0.376460485833061,0.581298390299196,0.0422411238677434
"5","36","New York",20201249,11143349,2986172,149690,1933127,1767463,10815,3948032,0.551616833196799,0.147821156998758,0.00740993787067324,0.0956934395492081,0.0874927584923091,0.000535362937212447,0.195435044635111,2020,"NEW YORK","Northeast",0.603918845358349,0.374612938400909,0.0214682162407416
"6","11","District of Columbia",689545,273194,285810,3193,33545,56077,432,77652,0.396194592086086,0.414490714891704,0.00463058973671044,0.048648021521438,0.0813246416114974,0.000626500083388321,0.112613389989051,NA,NA,NA,NA,NA,NA
"7","02","Alaska",733391,435392,21898,111575,44032,89524,12698,49824,0.593669679611558,0.029858561122239,0.152135763869478,0.0600389151216745,0.122068582788717,0.0173140930281391,0.0679364759043948,2020,"ALASKA","Pacific",0.427719522710205,0.528331432703808,0.0439490445859873
"8","12","Florida",21538187,12422961,3246381,94795,643682,3552072,14014,5697240,0.576787684125874,0.150726753370653,0.00440125252882241,0.0298856166491636,0.164919730708996,0.000650658293569463,0.264518085946603,2020,"FLORIDA","Southeast",0.478614507254422,0.51219819622504,0.00918729652053733
"9","45","South Carolina",5118425,3243442,1280531,24303,90466,298376,3431,352838,0.63367969639098,0.250180670811822,0.00474814029706404,0.0176745776288604,0.0582944948885644,0.0006703233904961,0.0689348774281151,2020,"SOUTH CAROLINA","Southeast",0.434168384978139,0.550934809171965,0.0148968058498959
"10","38","North Dakota",779094,645938,26783,38914,13213,41940,924,33412,0.82908865939155,0.0343771098224348,0.0499477598338583,0.01695944263465,0.0538317584270961,0.00118599296105476,0.0428857108384868,2020,"NORTH DAKOTA","Midwest",0.317567623590801,0.651140487370757,0.0312918890384419
"11","23","Maine",1362359,1237041,25752,7885,16798,64710,443,26609,0.908013966949974,0.0189025066080233,0.00578775491628858,0.0123300833333945,0.0474984934220716,0.000325171265430037,0.0195315625323428,2020,"MAINE","Northeast",0.525255793457724,0.435512281104183,0.0392319254380935
"12","13","Georgia",10711908,5555483,3320513,50618,479028,743908,7299,1123457,0.518626840335074,0.309983338169073,0.0047253953263975,0.0447192040857707,0.0694468249727313,0.000681391214338286,0.104879261472373,2020,"GEORGIA","Southeast",0.494730557844463,0.492374738997912,0.0128947031576253
"13","01","Alabama",5024279,3220452,1296162,33625,76660,256953,2984,264047,0.640977939322239,0.257979702162241,0.00669250254613647,0.0152579106375263,0.0511422633973949,0.000593916062384274,0.0525542072802884,2020,"ALABAMA","Southeast",0.365699902121223,0.620316431668648,0.0139836662101286
"14","33","New Hampshire",1377529,1216203,20127,3031,35871,77742,453,59454,0.882887402007508,0.0146109446697674,0.00220031665395066,0.0260401051447919,0.0564358354706144,0.000328849701167816,0.0431598899188329,2020,"NEW HAMPSHIRE","Northeast",0.527078252801477,0.453562595046776,0.0193591521517474
"15","41","Oregon",4237256,3169096,82655,62993,194538,443339,19204,588757,0.747912328167097,0.0195067279390247,0.0148664607472383,0.045911316191422,0.1046287975048,0.00453217837204077,0.138947705779401,2020,"OREGON","Pacific",0.564533186540489,0.403672460463434,0.0317943529960776
"16","56","Wyoming",576851,488374,5232,13898,5212,43473,579,59046,0.846620704480013,0.00906993313697991,0.0240928766700586,0.00903526213874987,0.0753626153027385,0.00100372539875982,0.102359188074563,2020,"WYOMING","Rocky Mountain",0.263878665579904,0.694997899484027,0.0411234349360689
"17","04","Arizona",7151502,4322337,339150,319512,257430,996806,16397,2192253,0.604395691981908,0.0474236041603568,0.0446776075850919,0.03599663399381,0.139384146155591,0.00229280506388728,0.3065444154249,2020,"ARIZONA","Southwest",0.493646906143666,0.490559810304647,0.0157932835516865
"18","22","Louisiana",4657757,2657652,1464023,31657,86438,273377,1911,322549,0.570586228521582,0.31431931721642,0.00679661905934552,0.0185578595019019,0.0586928429284739,0.000410283318773392,0.0692498556708733,2020,"LOUISIANA","Southeast",0.398514568015262,0.584608824140085,0.0168766078446525
"19","18","Indiana",6785528,5241795,648513,26086,167959,436726,3137,554191,0.772496259686792,0.0955729605713807,0.00384435816932743,0.0247525321537248,0.0643613879421027,0.000462307428397613,0.0816724947564876,2020,"INDIANA","Midwest",0.409616770597121,0.570211577657051,0.0201716517458272
"20","16","Idaho",1839106,1510360,15726,25621,26836,153205,3726,239407,0.821246844934441,0.00855089374946305,0.0139312252801089,0.0145918723553727,0.0833040618648409,0.00202598436414214,0.130175748434294,2020,"IDAHO","Rocky Mountain",0.33066402154804,0.638375648319036,0.0309603301329241
"21","09","Connecticut",3605944,2395128,388675,16051,172455,332904,1598,623293,0.664216637862374,0.107787308954327,0.00445126158365188,0.0478252019443452,0.0923209012674628,0.000443157187133244,0.172851547334068,2020,"CONNECTICUT","Northeast",0.592607315156835,0.391871182883307,0.0155215019598576
"22","15","Hawaii",1455271,333261,23417,4370,541902,368129,157445,138923,0.229002708086673,0.0160911610277399,0.00300287712735291,0.372371881250983,0.252962506639657,0.108189471239377,0.0954619448886152,2020,"HAWAII","Pacific",0.631493797690174,0.339547141694148,0.0289590606156776
"23","17","Illinois",12812508,7868227,1808271,96498,754878,1144984,4501,2337410,0.614105138509962,0.141133258219234,0.00753154651688803,0.0589172705297043,0.0893645490796962,0.000351297341628977,0.18243188609131,2020,"ILLINOIS","Midwest",0.575416453766758,0.405534508181737,0.0190490380515047
"24","25","Massachusetts",7029917,4896037,494029,24018,507934,608867,2301,887685,0.696457298144487,0.0702752251555744,0.00341654104877767,0.0722532001444683,0.0866108376528485,0.000327315386511676,0.126272472349247,2020,"MASSACHUSETTS","Northeast",0.651229837028654,0.31908157588631,0.0296885870850368
"25","48","Texas",29145505,14609365,3552997,278948,1585480,5133738,33611,11441717,0.501256197139147,0.121905487655815,0.00957087550893354,0.0543987829341094,0.176141672618128,0.00115321384892799,0.392572268004963,2020,"TEXAS","Southwest",0.464790099138705,0.520576036035526,0.0146338648257684
"26","30","Montana",1084225,916524,5484,67612,8300,71275,941,45199,0.845326385206023,0.00505799073070626,0.0623597500518804,0.00765523761211926,0.0657382000968434,0.000867901035301713,0.0416878415458046,2020,"MONTANA","Rocky Mountain",0.405493693616091,0.569184692400203,0.0253216139837064
