year,state,new_party,region,party_total
1976,ALABAMA,Democrat,Southeast,0.55727268884473935
1976,ALABAMA,Republican,Southeast,0.42614870862746757
1976,ALABAMA,Third_Party,Southeast,0.016578602527793043
1976,ALASKA,Democrat,Pacific,0.3565313091750692
1976,ALASKA,Republican,Pacific,0.5790457539611893
1976,ALASKA,Third_Party,Pacific,0.06442293686374156
1976,ARIZONA,Democrat,Southwest,0.39799978188251545
1976,ARIZONA,Republican,Southwest,0.5636613577948053
1976,ARIZONA,Third_Party,Southwest,0.03833886032267924
1976,ARKANSAS,Democrat,Southeast,0.6496172812966184
1976,ARKANSAS,Republican,Southeast,0.3490433661005687
1976,ARKANSAS,Third_Party,Southeast,0.001339352602812901
1976,CALIFORNIA,Democrat,Pacific,0.47954821836112543
1976,CALIFORNIA,Republican,Pacific,0.4974831395594693
1976,CALIFORNIA,Third_Party,Pacific,0.022968642079405212
1976,COLORADO,Democrat,Rocky Mountain,0.4260994599792869
1976,COLORADO,Republican,Rocky Mountain,0.5402777777777777
1976,COLORADO,Third_Party,Rocky Mountain,0.033622762242935346
1976,CONNECTICUT,Democrat,Northeast,0.46733700964038793
1976,CONNECTICUT,Republican,Northeast,0.5188144450735923
1976,CONNECTICUT,Third_Party,Northeast,0.013848545286019814
1976,DELAWARE,Democrat,Northeast,0.5196908870235357
1976,DELAWARE,Republican,Northeast,0.46587620203529084
1976,DELAWARE,Third_Party,Northeast,0.014432910941173476
1976,DISTRICT OF COLUMBIA,Democrat,Northeast,0.8163122667772316
1976,DISTRICT OF COLUMBIA,Republican,Northeast,0.16509506604276492
1976,DISTRICT OF COLUMBIA,Third_Party,Northeast,0.018592667180003554
1976,FLORIDA,Democrat,Southeast,0.5192610623078361
1976,FLORIDA,Republican,Southeast,0.46642434483758966
1976,FLORIDA,Third_Party,Southeast,0.014314592854574211
1976,GEORGIA,Democrat,Southeast,0.6693829485931742
1976,GEORGIA,Republican,Southeast,0.3306170514068258
1976,HAWAII,Democrat,Pacific,0.5059199934088795
